n,time
1,1e-06
2,1e-06
3,1e-06
4,1e-06
5,1e-06
6,1e-06
7,2e-06
8,1e-06
9,1e-06
10,2e-06
11,1e-06
12,1e-06
13,1e-06
14,1e-06
15,2e-06
16,3e-06
17,2e-06
18,2e-06
19,3e-06
20,2e-06
21,3e-06
22,2e-06
23,3e-06
24,3e-06
25,3e-06
26,3e-06
27,4e-06
28,5e-06
29,5e-06
30,5e-06
31,4e-06
32,5e-06
33,6e-06
34,5e-06
35,6e-06
36,6e-06
37,6e-06
38,6e-06
39,7e-06
40,7e-06
41,8e-06
42,7e-06
43,8e-06
44,9e-06
45,8e-06
46,1e-05
47,1e-05
48,9e-06
49,1e-05
50,1e-05
51,1e-05
52,1.2e-05
53,1.3e-05
54,1.1e-05
55,1.3e-05
56,1.2e-05
57,1.3e-05
58,1.3e-05
59,1.3e-05
60,1.7e-05
61,1.6e-05
62,9e-06
63,9e-06
64,9e-06
65,9e-06
66,8e-06
67,8e-06
68,9e-06
69,1e-05
70,8e-06
71,1.1e-05
72,1.1e-05
73,1e-05
74,1.2e-05
75,1e-05
76,1.1e-05
77,1.1e-05
78,1e-05
79,1.2e-05
80,1.3e-05
81,1.3e-05
82,3e-05
83,1.4e-05
84,1.3e-05
85,1.6e-05
86,1.5e-05
87,1.4e-05
88,1.5e-05
89,1.5e-05
90,1.4e-05
91,1.6e-05
92,1.7e-05
93,1.7e-05
94,1.6e-05
95,1.6e-05
96,1.8e-05
97,1.6e-05
98,2.7e-05
99,1.8e-05
100,1.7e-05
101,1.8e-05
102,1.7e-05
103,2e-05
104,2e-05
105,1.8e-05
106,1.9e-05
107,2e-05
108,2.2e-05
109,2.1e-05
110,2.4e-05
111,2.2e-05
112,4e-05
113,4.7e-05
114,4.6e-05
115,4.4e-05
116,5.1e-05
117,3.7e-05
118,2.5e-05
119,2.5e-05
120,2.5e-05
121,2.6e-05
122,3.2e-05
123,2.8e-05
124,2.7e-05
125,2.9e-05
126,3e-05
127,3e-05
128,3.2e-05
129,3e-05
130,5.7e-05
131,5.9e-05
132,6.4e-05
133,6.3e-05
134,7.4e-05
135,6.3e-05
136,6.5e-05
137,6.8e-05
138,6.5e-05
139,7e-05
140,7e-05
141,7.2e-05
142,7.2e-05
143,7e-05
144,6.8e-05
145,7.7e-05
146,7.2e-05
147,8e-05
148,8.5e-05
149,7.7e-05
150,7.9e-05
151,7.8e-05
152,7.7e-05
153,8.3e-05
154,7.6e-05
155,8.8e-05
156,7.7e-05
157,8.6e-05
158,8.4e-05
159,8.9e-05
160,8.6e-05
161,8.3e-05
162,9e-05
163,9.7e-05
164,0.000103
165,9.5e-05
166,8.9e-05
167,6.6e-05
168,7.7e-05
169,5.1e-05
170,5.5e-05
171,4.9e-05
172,5.1e-05
173,4.8e-05
174,5.2e-05
175,7.8e-05
176,0.000105
177,0.000108
178,0.000113
179,0.000113
180,0.000117
181,0.00011
182,0.000127
183,9.8e-05
184,0.000125
185,9.9e-05
186,5.8e-05
187,5.6e-05
188,5.7e-05
189,5.9e-05
190,6.1e-05
191,6.6e-05
192,6.2e-05
193,6.6e-05
194,6.8e-05
195,6.9e-05
196,7.1e-05
197,0.000116
198,9.1e-05
199,0.000108
200,0.000106
201,0.000104
202,6.5e-05
203,6.7e-05
204,7e-05
205,7.3e-05
206,9.6e-05
207,7.2e-05
208,7.4e-05
209,7.3e-05
210,6.8e-05
211,7.4e-05
212,8e-05
213,7.5e-05
214,7.4e-05
215,7.5e-05
216,8.5e-05
217,7.5e-05
218,7.6e-05
219,7.6e-05
220,8.3e-05
221,8.2e-05
222,9.1e-05
223,8.8e-05
224,8.5e-05
225,8.7e-05
226,8.8e-05
227,8e-05
228,9e-05
229,8.4e-05
230,8.3e-05
231,8.6e-05
232,8.7e-05
233,9.5e-05
234,9.2e-05
235,8.5e-05
236,8.2e-05
237,9.4e-05
238,9.7e-05
239,9.7e-05
240,9.6e-05
241,0.0001
242,9.7e-05
243,8.7e-05
244,0.000108
245,0.000129
246,0.000173
247,0.000199
248,0.000213
249,0.000202
250,0.000211
251,0.00016
252,0.000114
253,0.00014
254,0.000195
255,0.000221
256,0.000243
257,0.000115
258,0.000164
259,0.00025
260,0.000224
261,0.000252
262,0.000238
263,0.00023
264,0.000154
265,0.000244
266,0.000158
267,0.000252
268,0.000244
269,0.000229
270,0.000241
271,0.000249
272,0.000259
273,0.000127
274,0.000129
275,0.000122
276,0.000145
277,0.000121
278,0.000193
279,0.000198
280,0.000206
281,0.00021
282,0.000158
283,0.000148
284,0.00026
285,0.000185
286,0.000251
287,0.000228
288,0.00027
289,0.000294
290,0.000294
291,0.000283
292,0.000312
293,0.000321
294,0.000284
295,0.000288
296,0.000292
297,0.000313
298,0.000157
299,0.000138
300,0.000147
301,0.000146
302,0.000201
303,0.000225
304,0.0002
305,0.00015
306,0.000146
307,0.000157
308,0.000257
309,0.000173
310,0.000153
311,0.000146
312,0.00016
313,0.000146
314,0.000164
315,0.000159
316,0.000158
317,0.000151
318,0.000164
319,0.000163
320,0.000172
321,0.000173
322,0.000262
323,0.000277
324,0.000282
325,0.000273
326,0.00029
327,0.000267
328,0.000283
329,0.000247
330,0.000307
331,0.000287
332,0.000287
333,0.000296
334,0.000275
335,0.000278
336,0.000278
337,0.000324
338,0.000258
339,0.000259
340,0.000272
341,0.000265
342,0.000332
343,0.000222
344,0.000268
