n,time
1,1e-06
2,1e-06
3,1e-06
4,1e-06
5,1e-06
6,1e-06
7,1e-06
8,1e-06
9,2e-06
10,2e-06
11,2e-06
12,2e-06
13,2e-06
14,3e-06
15,2e-06
16,2e-06
17,3e-06
18,3e-06
19,3e-06
20,2e-06
21,3e-06
22,3e-06
23,3e-06
24,3e-06
25,3e-06
26,3e-06
27,4e-06
28,4e-06
29,3e-06
30,3e-06
31,4e-06
32,4e-06
33,5e-06
34,4e-06
35,5e-06
36,4e-06
37,5e-06
38,5e-06
39,5e-06
40,5e-06
41,5e-06
42,6e-06
43,5e-06
44,5e-06
45,7e-06
46,6e-06
47,6e-06
48,7e-06
49,8e-06
50,6e-06
51,7e-06
52,7e-06
53,8e-06
54,7e-06
55,7e-06
56,8e-06
57,7e-06
58,7e-06
59,8e-06
60,8e-06
61,7e-06
62,8e-06
63,9e-06
64,9e-06
65,9e-06
66,9e-06
67,1e-05
68,9e-06
69,9e-06
70,9e-06
71,1.1e-05
72,9e-06
73,9e-06
74,1e-05
75,1e-05
76,1e-05
77,1e-05
78,1.1e-05
79,1.2e-05
80,1.1e-05
81,1.1e-05
82,1e-05
83,1.2e-05
84,1.2e-05
85,1.2e-05
86,1.2e-05
87,1.1e-05
88,1.2e-05
89,1.4e-05
90,1.2e-05
91,1.2e-05
92,1.2e-05
93,1.3e-05
94,1.4e-05
95,1.3e-05
96,1.3e-05
97,1.5e-05
98,1.3e-05
99,1.3e-05
100,1.3e-05
101,1.4e-05
102,1.6e-05
103,1.6e-05
104,1.4e-05
105,1.5e-05
106,1.5e-05
107,1.5e-05
108,1.6e-05
109,1.5e-05
110,1.6e-05
111,1.5e-05
112,1.5e-05
113,1.7e-05
114,2e-05
115,1.7e-05
116,2.3e-05
117,2.1e-05
118,1.7e-05
119,1.7e-05
120,1.6e-05
121,1.6e-05
122,1.7e-05
123,2e-05
124,1.7e-05
125,1.7e-05
126,1.9e-05
127,1.8e-05
128,1.7e-05
129,1.9e-05
130,2e-05
131,1.8e-05
132,1.9e-05
133,2e-05
134,2e-05
135,1.9e-05
136,2e-05
137,2.1e-05
138,2.1e-05
139,1.9e-05
140,2e-05
141,2e-05
142,2e-05
143,2.1e-05
144,2.1e-05
145,2.2e-05
146,2.2e-05
147,2.3e-05
148,2.2e-05
149,2.2e-05
150,2.1e-05
151,2.2e-05
152,2.3e-05
153,2.5e-05
154,3.3e-05
155,2.6e-05
156,3.8e-05
157,3.6e-05
158,4e-05
159,2.2e-05
160,2.2e-05
161,2.3e-05
162,2.3e-05
163,2.3e-05
164,2.4e-05
165,2.5e-05
166,2.5e-05
167,2.6e-05
168,3e-05
169,3.5e-05
170,2.9e-05
171,3.4e-05
172,2.5e-05
173,3.2e-05
174,2.4e-05
175,2.6e-05
176,2.6e-05
177,2.6e-05
178,2.8e-05
179,2.8e-05
180,2.6e-05
181,3e-05
182,2.8e-05
183,3e-05
184,3e-05
185,3.1e-05
186,3e-05
187,2.7e-05
188,3e-05
189,2.9e-05
190,3e-05
191,3e-05
192,4e-05
193,5.2e-05
194,4.5e-05
195,3.2e-05
196,3e-05
197,3e-05
198,2.8e-05
199,3.3e-05
200,3.4e-05
201,3.3e-05
202,2.9e-05
203,3.6e-05
204,3.4e-05
205,3.1e-05
206,3.1e-05
207,3.5e-05
208,3.1e-05
209,3e-05
210,3.3e-05
211,3.4e-05
212,3.1e-05
213,3.4e-05
214,3.1e-05
215,3.6e-05
216,3.5e-05
217,3.3e-05
218,3e-05
219,3.4e-05
220,3.1e-05
221,3.6e-05
222,3.5e-05
223,3.3e-05
224,3.4e-05
225,3.5e-05
226,3.3e-05
227,3.4e-05
228,3.4e-05
229,3.6e-05
230,3.3e-05
231,3.6e-05
232,3.8e-05
233,3.4e-05
234,3.6e-05
235,4e-05
236,3.3e-05
237,6.1e-05
238,3.6e-05
239,3.9e-05
240,3.6e-05
241,3.6e-05
242,3.7e-05
243,3.8e-05
244,3.6e-05
245,3.8e-05
246,3.4e-05
247,3.8e-05
248,3.7e-05
249,4e-05
250,3.9e-05
251,3.8e-05
252,4e-05
253,3.9e-05
254,8.3e-05
255,6.9e-05
256,5.6e-05
257,6.7e-05
258,3.6e-05
259,3.8e-05
260,4.1e-05
261,4.2e-05
262,4e-05
263,3.8e-05
264,3.8e-05
265,5.6e-05
266,3.9e-05
267,3.4e-05
268,4.3e-05
269,3.5e-05
270,3.8e-05
271,3.5e-05
272,4e-05
273,3.8e-05
274,3.8e-05
275,4.3e-05
276,4e-05
277,4e-05
278,4.3e-05
279,3.9e-05
280,3.9e-05
281,4.1e-05
282,4.1e-05
283,4.7e-05
284,4.1e-05
285,4.4e-05
286,4e-05
287,3.9e-05
288,4.9e-05
289,3.7e-05
290,5.1e-05
291,4e-05
292,3.7e-05
293,3.8e-05
294,4.3e-05
295,4e-05
296,4.2e-05
297,4e-05
298,3.8e-05
299,3.9e-05
300,3.9e-05
301,4e-05
302,4.4e-05
303,4e-05
304,4.1e-05
305,4.2e-05
306,3.8e-05
307,3.8e-05
308,4.5e-05
309,3.9e-05
310,4.2e-05
311,3.8e-05
312,4.1e-05
313,3.8e-05
314,3.9e-05
315,3.9e-05
316,4.2e-05
317,4e-05
318,4.5e-05
319,3.9e-05
320,5.4e-05
321,3.9e-05
322,4e-05
323,4.1e-05
324,4e-05
325,4.2e-05
326,4.1e-05
