n,time
1,2e-06
2,1e-06
3,2e-06
4,1e-06
5,1e-06
6,2e-06
7,2e-06
8,3e-06
9,2e-06
10,2e-06
11,2e-06
12,2e-06
13,3e-06
14,3e-06
15,3e-06
16,4e-06
17,3e-06
18,4e-06
19,3e-06
20,4e-06
21,3e-06
22,4e-06
23,4e-06
24,6e-06
25,6e-06
26,5e-06
27,5e-06
28,6e-06
29,5e-06
30,6e-06
31,6e-06
32,5e-06
33,6e-06
34,7e-06
35,6e-06
36,8e-06
37,7e-06
38,8e-06
39,6e-06
40,7e-06
41,7e-06
42,8e-06
43,8e-06
44,9e-06
45,8e-06
46,1e-05
47,9e-06
48,9e-06
49,1e-05
50,9e-06
51,9e-06
52,1e-05
53,1e-05
54,1.1e-05
55,1e-05
56,1.1e-05
57,1.2e-05
58,1.1e-05
59,1.2e-05
60,1.1e-05
61,1.4e-05
62,1.5e-05
63,1.3e-05
64,1.2e-05
65,1.2e-05
66,1.3e-05
67,1.5e-05
68,1.4e-05
69,1.4e-05
70,2.1e-05
71,1.4e-05
72,1.9e-05
73,1.6e-05
74,1.3e-05
75,1.4e-05
76,1.4e-05
77,1.5e-05
78,1.3e-05
79,1.4e-05
80,1.4e-05
81,1.3e-05
82,1.2e-05
83,1.5e-05
84,1.5e-05
85,2.3e-05
86,1.7e-05
87,1.4e-05
88,1.5e-05
89,1.6e-05
90,1.5e-05
91,1.7e-05
92,1.2e-05
93,1.5e-05
94,1.3e-05
95,1.4e-05
96,1.3e-05
97,1.9e-05
98,1.9e-05
99,1.4e-05
100,1.6e-05
101,1.4e-05
102,1.5e-05
103,1.6e-05
104,1.6e-05
105,1.7e-05
106,1.9e-05
107,1.6e-05
108,1.5e-05
109,1.8e-05
110,1.6e-05
111,1.6e-05
112,1.6e-05
113,1.6e-05
114,1.6e-05
115,1.9e-05
116,1.8e-05
117,1.6e-05
118,1.8e-05
119,1.8e-05
120,2.3e-05
121,1.8e-05
122,2.3e-05
123,2.4e-05
124,2.5e-05
125,2.1e-05
126,2.3e-05
127,2.9e-05
128,2.5e-05
129,2.4e-05
130,1.9e-05
131,2e-05
132,1.7e-05
133,2.4e-05
134,3.1e-05
135,3.2e-05
136,2.9e-05
137,3.4e-05
138,2.1e-05
139,2.4e-05
140,2.8e-05
141,2.1e-05
142,3.3e-05
143,2.8e-05
144,3.3e-05
145,3.2e-05
146,3.7e-05
147,3.4e-05
148,3e-05
149,4e-05
150,2.1e-05
151,2.7e-05
152,2.3e-05
153,2.2e-05
154,2.3e-05
155,2.3e-05
156,2.4e-05
157,2.2e-05
158,2.3e-05
159,2.3e-05
160,2.2e-05
161,2.2e-05
162,2.4e-05
163,2.7e-05
164,3.5e-05
165,2.4e-05
166,2.4e-05
167,2.2e-05
168,2.7e-05
169,2.4e-05
170,2.3e-05
171,3.2e-05
172,2.6e-05
173,2.6e-05
174,2.5e-05
175,2.6e-05
176,2.7e-05
177,2.5e-05
178,2.6e-05
179,2.8e-05
180,2.5e-05
181,2.7e-05
182,2.3e-05
183,2.8e-05
184,2.9e-05
185,3e-05
186,2.6e-05
187,2.8e-05
188,3.1e-05
189,2.7e-05
190,3.9e-05
191,2.7e-05
192,2.7e-05
193,2.6e-05
194,2.7e-05
195,3.3e-05
196,5.1e-05
197,2.6e-05
198,2.9e-05
199,2.9e-05
200,2.7e-05
201,2.7e-05
202,3.1e-05
203,3.1e-05
204,3.1e-05
205,3e-05
206,2.8e-05
207,2.8e-05
208,3e-05
209,3.1e-05
210,2.7e-05
211,2.8e-05
212,2.8e-05
213,2.9e-05
214,3.1e-05
215,2.9e-05
216,3e-05
217,3e-05
218,2.9e-05
219,3e-05
220,2.7e-05
221,2.7e-05
222,3e-05
223,3.1e-05
224,4e-05
225,4.6e-05
226,3e-05
227,2.9e-05
228,3.6e-05
229,3.1e-05
230,3e-05
231,3.2e-05
232,3e-05
233,4e-05
234,4e-05
235,4.1e-05
236,3.7e-05
237,3.4e-05
238,3e-05
239,3.6e-05
240,4.1e-05
241,3.6e-05
242,3.6e-05
243,3.6e-05
244,4e-05
245,4e-05
246,4e-05
247,4.2e-05
248,3.8e-05
249,4.1e-05
250,3.6e-05
